url,doc_id,title,audience,category,language,document_version,license_or_permission
"https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee",shopee-general-return-policy,Quy định chung về Trả hàng Hoàn tiền của Shopee,buyer,returns,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/77262",shopee-mall-seller-terms-of-service,Điều khoản Dịch vụ Shopee Mall cho Người bán,seller,terms,vi,not-stated,public-source
